t_seconds,v_wx,v_wy,v_wz
0,-0.6518861789093598,-3.294975809862432,-0.6981654710216995
1,-0.6520690040144491,-3.2949195833015907,-0.6975952258054506
2,-0.6522518291195384,-3.2948633567407493,-0.6970249805892019
3,-0.6524346542246278,-3.294807130179908,-0.6964547353729531
4,-0.652617479329717,-3.2947509036190663,-0.6958844901567044
5,-0.6528003044348063,-3.294694677058225,-0.6953142449404556
6,-0.6529831295398956,-3.2946384504973834,-0.6947439997242069
7,-0.6531659546449848,-3.294582223936542,-0.694173754507958
8,-0.6533487797500741,-3.2945259973757004,-0.6936035092917093
9,-0.6535316048551635,-3.294469770814859,-0.6930332640754605
10,-0.6537144299602528,-3.2944135442540174,-0.6924630188592118
11,-0.653897255065342,-3.294357317693176,-0.691892773642963
12,-0.6540800801704313,-3.2943010911323345,-0.6913225284267143
13,-0.6542629052755206,-3.294244864571493,-0.6907522832104654
14,-0.6544457303806099,-3.2941886380106515,-0.6901820379942167
15,-0.6546285554856992,-3.29413241144981,-0.6896117927779679
16,-0.6548113805907885,-3.2940761848889686,-0.6890415475617192
17,-0.6549942056958777,-3.294019958328127,-0.6884713023454704
18,-0.655177030800967,-3.2939637317672856,-0.6879010571292217
19,-0.6553598559060564,-3.293907505206444,-0.6873308119129728
20,-0.6555426810111457,-3.2938512786456027,-0.6867605666967241
21,-0.6557255061162349,-3.293795052084761,-0.6861903214804753
22,-0.6559083312213242,-3.2937388255239197,-0.6856200762642266
23,-0.6560911563264135,-3.2936825989630782,-0.6850498310479778
24,-0.6562739814315027,-3.2936263724022368,-0.6844795858317291
25,-0.6564568065365921,-3.2935701458413953,-0.6839093406154803
26,-0.6566396316416814,-3.293513919280554,-0.6833390953992315
27,-0.6568224567467706,-3.2934576927197123,-0.6827688501829827
28,-0.6570052818518599,-3.293401466158871,-0.682198604966734
29,-0.6571881069569492,-3.2933452395980294,-0.6816283597504852
30,-0.6573709320620386,-3.293289013037188,-0.6810581145342365
31,-0.6575537571671278,-3.2932327864763464,-0.6804878693179877
32,-0.6577365822722171,-3.293176559915505,-0.679917624101739
33,-0.6579194073773064,-3.2931203333546635,-0.6793473788854901
34,-0.6581022324823956,-3.2930641067938224,-0.6787771336692414
35,-0.6582850575874849,-3.293007880232981,-0.6782068884529926
36,-0.6584678826925743,-3.2929516536721395,-0.6776366432367438
37,-0.6586507077976635,-3.292895427111298,-0.6770663980204951
38,-0.6588335329027528,-3.2928392005504565,-0.6764961528042462
39,-0.6590163580078421,-3.292782973989615,-0.6759259075879975
40,-0.6591991831129314,-3.2927267474287736,-0.6753556623717487
41,-0.6593820082180207,-3.292670520867932,-0.6747854171555
42,-0.65956483332311,-3.2926142943070906,-0.6742151719392512
43,-0.6597476584281993,-3.292558067746249,-0.6736449267230025
44,-0.6599304835332885,-3.2925018411854077,-0.6730746815067536
45,-0.6601133086383778,-3.292445614624566,-0.6725044362905049
46,-0.6602961337434672,-3.2923893880637247,-0.6719341910742561
47,-0.6604789588485565,-3.2923331615028832,-0.6713639458580074
48,-0.6606617839536457,-3.2922769349420418,-0.6707937006417586
49,-0.660844609058735,-3.2922207083812003,-0.6702234554255099
50,-0.6610274341638243,-3.292164481820359,-0.669653210209261
51,-0.6612102592689135,-3.2921082552595173,-0.6690829649930123
52,-0.6613930843740029,-3.292052028698676,-0.6685127197767635
53,-0.6615759094790922,-3.2919958021378344,-0.6679424745605148
